id,approved,reason_for_rejection,accepted_under_conditions
42,False,"['Credit score below 640.', 'DTI ratio too high: 132.60%.', 'FEDTI ratio above preferred level of 28%.']",[]
43,True,[],['PMI required due to LTV ratio between 80% and 95%.']
44,False,"['DTI ratio too high: 129.40%.', 'FEDTI ratio above preferred level of 28%.']",[]
45,True,[],['PMI required due to LTV ratio between 80% and 95%.']
46,False,"['Credit score below 640.', 'DTI ratio too high: 55.66%.', 'FEDTI ratio above preferred level of 28%.']",[]
47,False,"['DTI ratio too high: 75.63%.', 'FEDTI ratio above preferred level of 28%.']",[]
48,False,"['DTI ratio too high: 54.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
49,False,['Credit score below 640.'],[]
50,False,"['DTI ratio too high: 69.21%.', 'FEDTI ratio above preferred level of 28%.']",[]
51,False,"['Credit score below 640.', 'DTI ratio too high: 152.75%.', 'FEDTI ratio above preferred level of 28%.']",[]
52,False,"['DTI ratio too high: 106.90%.', 'FEDTI ratio above preferred level of 28%.']",[]
53,True,[],['PMI required due to LTV ratio between 80% and 95%.']
54,False,"['DTI ratio too high: 106.00%.', 'FEDTI ratio above preferred level of 28%.']",[]
55,False,['Credit score below 640.'],[]
56,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
57,False,['Credit score below 640.'],[]
58,False,"['Credit score below 640.', 'DTI ratio too high: 70.02%.', 'FEDTI ratio above preferred level of 28%.']",[]
59,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
60,False,['Credit score below 640.'],[]
61,False,"['DTI ratio too high: 107.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
62,False,"['DTI ratio too high: 67.31%.', 'FEDTI ratio above preferred level of 28%.']",[]
63,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
64,False,['Credit score below 640.'],[]
65,False,['Credit score below 640.'],[]
66,False,"['DTI ratio too high: 76.59%.', 'FEDTI ratio above preferred level of 28%.']",[]
67,True,[],[]
68,True,[],['PMI required due to LTV ratio between 80% and 95%.']
69,False,['DTI ratio too high: 44.65%.'],[]
70,False,['Credit score below 640.'],[]
71,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
72,True,[],['PMI required due to LTV ratio between 80% and 95%.']
73,False,"['DTI ratio too high: 119.24%.', 'FEDTI ratio above preferred level of 28%.']",[]
74,False,"['Credit score below 640.', 'DTI ratio too high: 163.77%.', 'FEDTI ratio above preferred level of 28%.']",[]
75,False,"['Credit score below 640.', 'DTI ratio too high: 46.48%.', 'FEDTI ratio above preferred level of 28%.']",[]
76,True,[],['PMI required due to LTV ratio between 80% and 95%.']
77,False,"['DTI ratio too high: 56.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
78,False,"['DTI ratio too high: 43.42%.', 'FEDTI ratio above preferred level of 28%.']",[]
79,False,"['DTI ratio too high: 157.36%.', 'FEDTI ratio above preferred level of 28%.']",[]
80,True,[],['PMI required due to LTV ratio between 80% and 95%.']
81,True,[],[]
82,False,['Credit score below 640.'],[]
83,False,['Credit score below 640.'],[]
84,False,"['Credit score below 640.', 'DTI ratio too high: 98.64%.', 'FEDTI ratio above preferred level of 28%.']",[]
85,True,[],['PMI required due to LTV ratio between 80% and 95%.']
86,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
87,False,"['DTI ratio too high: 52.44%.', 'FEDTI ratio above preferred level of 28%.']",[]
88,False,"['Credit score below 640.', 'DTI ratio too high: 105.80%.', 'FEDTI ratio above preferred level of 28%.']",[]
89,False,['Credit score below 640.'],[]
90,False,"['DTI ratio too high: 55.40%.', 'FEDTI ratio above preferred level of 28%.']",[]
91,False,"['Credit score below 640.', 'DTI ratio too high: 59.05%.', 'FEDTI ratio above preferred level of 28%.']",[]
92,False,"['DTI ratio too high: 60.22%.', 'FEDTI ratio above preferred level of 28%.']",[]
93,True,[],[]
94,False,['Credit score below 640.'],[]
95,False,"['Credit score below 640.', 'DTI ratio too high: 52.64%.', 'FEDTI ratio above preferred level of 28%.']",[]
96,True,[],['PMI required due to LTV ratio between 80% and 95%.']
97,False,"['Credit score below 640.', 'DTI ratio too high: 102.72%.', 'FEDTI ratio above preferred level of 28%.']",[]
98,True,[],[]
99,False,"['Credit score below 640.', 'DTI ratio too high: 76.02%.', 'FEDTI ratio above preferred level of 28%.']",[]
100,False,"['Credit score below 640.', 'DTI ratio too high: 91.70%.', 'FEDTI ratio above preferred level of 28%.']",[]
101,False,"['Credit score below 640.', 'DTI ratio too high: 111.88%.', 'FEDTI ratio above preferred level of 28%.']",[]
102,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
103,False,"['DTI ratio too high: 113.54%.', 'FEDTI ratio above preferred level of 28%.']",[]
104,True,[],['PMI required due to LTV ratio between 80% and 95%.']
105,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
106,False,['Credit score below 640.'],[]
107,False,"['DTI ratio too high: 59.65%.', 'FEDTI ratio above preferred level of 28%.']",[]
108,False,['Credit score below 640.'],[]
109,True,[],['PMI required due to LTV ratio between 80% and 95%.']
110,False,['Credit score below 640.'],[]
111,False,['DTI ratio too high: 45.13%.'],[]
112,True,[],['PMI required due to LTV ratio between 80% and 95%.']
113,False,"['DTI ratio too high: 53.43%.', 'FEDTI ratio above preferred level of 28%.']",[]
114,False,"['DTI ratio too high: 97.86%.', 'FEDTI ratio above preferred level of 28%.']",[]
115,True,[],['PMI required due to LTV ratio between 80% and 95%.']
116,False,"['DTI ratio too high: 71.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
117,False,"['Credit score below 640.', 'DTI ratio too high: 142.83%.', 'FEDTI ratio above preferred level of 28%.']",[]
118,True,[],[]
119,False,['DTI ratio too high: 45.34%.'],[]
120,False,['Credit score below 640.'],[]
121,False,"['DTI ratio too high: 94.52%.', 'FEDTI ratio above preferred level of 28%.']",[]
122,False,"['Credit score below 640.', 'DTI ratio too high: 57.33%.', 'FEDTI ratio above preferred level of 28%.']",[]
123,False,"['Credit score below 640.', 'DTI ratio too high: 54.92%.', 'FEDTI ratio above preferred level of 28%.']",[]
124,True,[],['DTI ratio above preferred level of 36%.']
125,False,"['Credit score below 640.', 'DTI ratio too high: 49.23%.', 'FEDTI ratio above preferred level of 28%.']",[]
126,False,"['Credit score below 640.', 'DTI ratio too high: 50.15%.', 'FEDTI ratio above preferred level of 28%.']",[]
127,False,"['Credit score below 640.', 'DTI ratio too high: 57.62%.', 'FEDTI ratio above preferred level of 28%.']",[]
128,True,[],[]
129,True,[],[]
130,False,"['DTI ratio too high: 72.12%.', 'FEDTI ratio above preferred level of 28%.']",[]
131,False,"['DTI ratio too high: 61.81%.', 'FEDTI ratio above preferred level of 28%.']",[]
132,True,[],[]
133,True,[],[]
134,True,[],[]
135,False,"['DTI ratio too high: 104.46%.', 'FEDTI ratio above preferred level of 28%.']",[]
136,False,"['Credit score below 640.', 'DTI ratio too high: 66.44%.', 'FEDTI ratio above preferred level of 28%.']",[]
137,False,"['DTI ratio too high: 69.41%.', 'FEDTI ratio above preferred level of 28%.']",[]
138,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
139,False,"['Credit score below 640.', 'DTI ratio too high: 88.23%.', 'FEDTI ratio above preferred level of 28%.']",[]
140,False,"['DTI ratio too high: 88.73%.', 'FEDTI ratio above preferred level of 28%.']",[]
141,False,"['DTI ratio too high: 51.58%.', 'FEDTI ratio above preferred level of 28%.']",[]
142,False,"['Credit score below 640.', 'DTI ratio too high: 80.76%.', 'FEDTI ratio above preferred level of 28%.']",[]
143,False,['DTI ratio too high: 46.44%.'],[]
144,False,"['Credit score below 640.', 'DTI ratio too high: 61.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
145,False,"['DTI ratio too high: 70.34%.', 'FEDTI ratio above preferred level of 28%.']",[]
146,False,"['Credit score below 640.', 'DTI ratio too high: 151.77%.', 'FEDTI ratio above preferred level of 28%.']",[]
147,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
148,True,[],['DTI ratio above preferred level of 36%.']
149,True,[],[]
150,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
151,False,"['Credit score below 640.', 'DTI ratio too high: 72.60%.', 'FEDTI ratio above preferred level of 28%.']",[]
152,False,"['DTI ratio too high: 84.17%.', 'FEDTI ratio above preferred level of 28%.']",[]
153,True,[],[]
154,False,"['Credit score below 640.', 'DTI ratio too high: 158.84%.', 'FEDTI ratio above preferred level of 28%.']",[]
155,False,"['Credit score below 640.', 'DTI ratio too high: 80.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
156,False,"['Credit score below 640.', 'DTI ratio too high: 56.03%.', 'FEDTI ratio above preferred level of 28%.']",[]
157,False,"['Credit score below 640.', 'DTI ratio too high: 50.69%.', 'FEDTI ratio above preferred level of 28%.']",[]
158,False,"['DTI ratio too high: 139.97%.', 'FEDTI ratio above preferred level of 28%.']",[]
159,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
160,False,"['Credit score below 640.', 'DTI ratio too high: 80.79%.', 'FEDTI ratio above preferred level of 28%.']",[]
161,False,['FEDTI ratio above preferred level of 28%.'],[]
162,False,"['Credit score below 640.', 'DTI ratio too high: 55.22%.', 'FEDTI ratio above preferred level of 28%.']",[]
163,False,"['Credit score below 640.', 'DTI ratio too high: 66.52%.', 'FEDTI ratio above preferred level of 28%.']",[]
164,False,['Credit score below 640.'],[]
165,False,"['DTI ratio too high: 88.25%.', 'FEDTI ratio above preferred level of 28%.']",[]
166,False,"['DTI ratio too high: 105.36%.', 'FEDTI ratio above preferred level of 28%.']",[]
167,False,"['Credit score below 640.', 'DTI ratio too high: 109.91%.', 'FEDTI ratio above preferred level of 28%.']",[]
168,False,"['DTI ratio too high: 75.50%.', 'FEDTI ratio above preferred level of 28%.']",[]
169,True,[],['PMI required due to LTV ratio between 80% and 95%.']
170,False,"['Credit score below 640.', 'DTI ratio too high: 58.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
171,False,['Credit score below 640.'],[]
172,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
173,False,"['Credit score below 640.', 'DTI ratio too high: 71.34%.', 'FEDTI ratio above preferred level of 28%.']",[]
174,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
175,False,['Credit score below 640.'],[]
176,False,['Credit score below 640.'],[]
177,True,[],['PMI required due to LTV ratio between 80% and 95%.']
178,False,"['DTI ratio too high: 61.77%.', 'FEDTI ratio above preferred level of 28%.']",[]
179,True,[],[]
180,False,['Credit score below 640.'],[]
181,True,[],[]
182,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
183,False,"['Credit score below 640.', 'DTI ratio too high: 209.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
184,False,"['DTI ratio too high: 50.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
185,False,['Credit score below 640.'],[]
186,False,"['Credit score below 640.', 'DTI ratio too high: 53.66%.', 'FEDTI ratio above preferred level of 28%.']",[]
187,False,"['DTI ratio too high: 50.22%.', 'FEDTI ratio above preferred level of 28%.']",[]
188,False,"['DTI ratio too high: 75.33%.', 'FEDTI ratio above preferred level of 28%.']",[]
189,False,"['DTI ratio too high: 83.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
190,False,"['DTI ratio too high: 81.94%.', 'FEDTI ratio above preferred level of 28%.']",[]
191,False,"['DTI ratio too high: 77.72%.', 'FEDTI ratio above preferred level of 28%.']",[]
192,False,['DTI ratio too high: 51.77%.'],[]
193,False,"['Credit score below 640.', 'DTI ratio too high: 79.89%.', 'FEDTI ratio above preferred level of 28%.']",[]
194,False,"['DTI ratio too high: 70.79%.', 'FEDTI ratio above preferred level of 28%.']",[]
195,False,"['Credit score below 640.', 'DTI ratio too high: 50.09%.', 'FEDTI ratio above preferred level of 28%.']",[]
196,False,"['DTI ratio too high: 126.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
197,False,"['Credit score below 640.', 'DTI ratio too high: 61.20%.', 'FEDTI ratio above preferred level of 28%.']",[]
198,False,"['Credit score below 640.', 'DTI ratio too high: 59.69%.', 'FEDTI ratio above preferred level of 28%.']",[]
199,False,"['Credit score below 640.', 'DTI ratio too high: 47.11%.', 'FEDTI ratio above preferred level of 28%.']",[]
200,False,['DTI ratio too high: 43.78%.'],[]
201,True,[],['PMI required due to LTV ratio between 80% and 95%.']
202,False,['Credit score below 640.'],[]
203,False,"['DTI ratio too high: 59.13%.', 'FEDTI ratio above preferred level of 28%.']",[]
204,False,"['Credit score below 640.', 'DTI ratio too high: 99.16%.', 'FEDTI ratio above preferred level of 28%.']",[]
205,False,"['DTI ratio too high: 51.68%.', 'FEDTI ratio above preferred level of 28%.']",[]
206,False,['Credit score below 640.'],[]
207,False,"['Credit score below 640.', 'DTI ratio too high: 128.16%.', 'FEDTI ratio above preferred level of 28%.']",[]
208,False,"['DTI ratio too high: 69.83%.', 'FEDTI ratio above preferred level of 28%.']",[]
209,True,[],[]
210,True,[],['PMI required due to LTV ratio between 80% and 95%.']
211,False,['Credit score below 640.'],[]
212,False,"['Credit score below 640.', 'DTI ratio too high: 45.33%.', 'FEDTI ratio above preferred level of 28%.']",[]
213,False,"['DTI ratio too high: 54.16%.', 'FEDTI ratio above preferred level of 28%.']",[]
214,False,"['DTI ratio too high: 60.52%.', 'FEDTI ratio above preferred level of 28%.']",[]
215,False,"['DTI ratio too high: 135.29%.', 'FEDTI ratio above preferred level of 28%.']",[]
216,False,['DTI ratio too high: 56.13%.'],[]
217,False,"['DTI ratio too high: 49.31%.', 'FEDTI ratio above preferred level of 28%.']",[]
218,False,['Credit score below 640.'],[]
219,False,['Credit score below 640.'],[]
220,False,['Credit score below 640.'],[]
221,False,['Credit score below 640.'],[]
222,False,"['DTI ratio too high: 73.61%.', 'FEDTI ratio above preferred level of 28%.']",[]
223,False,['DTI ratio too high: 47.68%.'],[]
224,False,"['DTI ratio too high: 73.29%.', 'FEDTI ratio above preferred level of 28%.']",[]
225,False,"['Credit score below 640.', 'DTI ratio too high: 73.68%.', 'FEDTI ratio above preferred level of 28%.']",[]
226,False,['Credit score below 640.'],[]
227,True,[],['PMI required due to LTV ratio between 80% and 95%.']
228,False,"['DTI ratio too high: 58.09%.', 'FEDTI ratio above preferred level of 28%.']",[]
229,False,"['DTI ratio too high: 95.56%.', 'FEDTI ratio above preferred level of 28%.']",[]
230,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
231,False,"['Credit score below 640.', 'DTI ratio too high: 157.57%.', 'FEDTI ratio above preferred level of 28%.']",[]
232,False,"['DTI ratio too high: 69.54%.', 'FEDTI ratio above preferred level of 28%.']",[]
233,False,['Credit score below 640.'],[]
234,False,['DTI ratio too high: 49.08%.'],[]
235,False,"['DTI ratio too high: 101.69%.', 'FEDTI ratio above preferred level of 28%.']",[]
236,False,"['DTI ratio too high: 52.07%.', 'FEDTI ratio above preferred level of 28%.']",[]
237,False,"['Credit score below 640.', 'DTI ratio too high: 43.72%.']",[]
238,False,"['DTI ratio too high: 50.48%.', 'FEDTI ratio above preferred level of 28%.']",[]
239,False,['DTI ratio too high: 43.29%.'],[]
240,False,"['Credit score below 640.', 'DTI ratio too high: 69.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
241,False,"['Credit score below 640.', 'DTI ratio too high: 116.47%.', 'FEDTI ratio above preferred level of 28%.']",[]
242,False,['Credit score below 640.'],[]
243,False,"['DTI ratio too high: 51.90%.', 'FEDTI ratio above preferred level of 28%.']",[]
244,False,"['DTI ratio too high: 112.62%.', 'FEDTI ratio above preferred level of 28%.']",[]
245,False,"['DTI ratio too high: 66.11%.', 'FEDTI ratio above preferred level of 28%.']",[]
246,False,['Credit score below 640.'],[]
247,False,"['DTI ratio too high: 68.75%.', 'FEDTI ratio above preferred level of 28%.']",[]
248,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
249,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
250,False,"['DTI ratio too high: 78.94%.', 'FEDTI ratio above preferred level of 28%.']",[]
251,False,"['DTI ratio too high: 64.71%.', 'FEDTI ratio above preferred level of 28%.']",[]
252,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
253,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
254,False,"['DTI ratio too high: 57.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
255,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
256,False,"['DTI ratio too high: 62.32%.', 'FEDTI ratio above preferred level of 28%.']",[]
257,True,[],[]
258,True,[],['PMI required due to LTV ratio between 80% and 95%.']
259,False,"['Credit score below 640.', 'DTI ratio too high: 143.58%.', 'FEDTI ratio above preferred level of 28%.']",[]
260,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
261,False,"['DTI ratio too high: 46.04%.', 'FEDTI ratio above preferred level of 28%.']",[]
262,True,[],[]
263,False,"['Credit score below 640.', 'DTI ratio too high: 61.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
264,False,"['DTI ratio too high: 120.28%.', 'FEDTI ratio above preferred level of 28%.']",[]
265,False,"['DTI ratio too high: 109.93%.', 'FEDTI ratio above preferred level of 28%.']",[]
266,False,"['DTI ratio too high: 131.24%.', 'FEDTI ratio above preferred level of 28%.']",[]
267,False,"['Credit score below 640.', 'DTI ratio too high: 66.30%.', 'FEDTI ratio above preferred level of 28%.']",[]
268,False,"['Credit score below 640.', 'DTI ratio too high: 54.72%.', 'FEDTI ratio above preferred level of 28%.']",[]
269,False,"['DTI ratio too high: 101.40%.', 'FEDTI ratio above preferred level of 28%.']",[]
270,False,"['Credit score below 640.', 'DTI ratio too high: 48.13%.']",[]
271,False,"['Credit score below 640.', 'DTI ratio too high: 79.24%.', 'FEDTI ratio above preferred level of 28%.']",[]
272,True,[],['DTI ratio above preferred level of 36%.']
273,False,"['Credit score below 640.', 'DTI ratio too high: 49.55%.', 'FEDTI ratio above preferred level of 28%.']",[]
274,False,"['DTI ratio too high: 79.59%.', 'FEDTI ratio above preferred level of 28%.']",[]
275,False,['Credit score below 640.'],[]
276,True,[],['PMI required due to LTV ratio between 80% and 95%.']
277,False,"['DTI ratio too high: 61.38%.', 'FEDTI ratio above preferred level of 28%.']",[]
278,False,['DTI ratio too high: 47.48%.'],[]
279,True,[],['PMI required due to LTV ratio between 80% and 95%.']
280,True,[],[]
281,False,"['Credit score below 640.', 'DTI ratio too high: 69.85%.', 'FEDTI ratio above preferred level of 28%.']",[]
282,False,"['DTI ratio too high: 108.78%.', 'FEDTI ratio above preferred level of 28%.']",[]
283,False,"['DTI ratio too high: 60.57%.', 'FEDTI ratio above preferred level of 28%.']",[]
284,False,"['DTI ratio too high: 72.80%.', 'FEDTI ratio above preferred level of 28%.']",[]
285,False,"['DTI ratio too high: 99.49%.', 'FEDTI ratio above preferred level of 28%.']",[]
286,False,"['Credit score below 640.', 'DTI ratio too high: 99.18%.', 'FEDTI ratio above preferred level of 28%.']",[]
287,False,"['DTI ratio too high: 93.21%.', 'FEDTI ratio above preferred level of 28%.']",[]
288,False,['Credit score below 640.'],[]
289,False,"['DTI ratio too high: 48.60%.', 'FEDTI ratio above preferred level of 28%.']",[]
290,False,"['Credit score below 640.', 'DTI ratio too high: 47.04%.', 'FEDTI ratio above preferred level of 28%.']",[]
291,False,"['DTI ratio too high: 62.15%.', 'FEDTI ratio above preferred level of 28%.']",[]
292,False,"['DTI ratio too high: 61.39%.', 'FEDTI ratio above preferred level of 28%.']",[]
293,False,"['Credit score below 640.', 'DTI ratio too high: 105.54%.', 'FEDTI ratio above preferred level of 28%.']",[]
294,False,['DTI ratio too high: 48.27%.'],[]
295,False,"['Credit score below 640.', 'DTI ratio too high: 77.76%.', 'FEDTI ratio above preferred level of 28%.']",[]
296,True,[],['PMI required due to LTV ratio between 80% and 95%.']
297,False,['Credit score below 640.'],[]
298,False,"['DTI ratio too high: 119.59%.', 'FEDTI ratio above preferred level of 28%.']",[]
299,False,"['Credit score below 640.', 'DTI ratio too high: 92.39%.', 'FEDTI ratio above preferred level of 28%.']",[]
300,False,"['Credit score below 640.', 'DTI ratio too high: 51.95%.', 'FEDTI ratio above preferred level of 28%.']",[]
301,False,"['Credit score below 640.', 'DTI ratio too high: 90.27%.', 'FEDTI ratio above preferred level of 28%.']",[]
302,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
303,False,"['DTI ratio too high: 132.22%.', 'FEDTI ratio above preferred level of 28%.']",[]
304,False,['Credit score below 640.'],[]
305,False,"['DTI ratio too high: 59.93%.', 'FEDTI ratio above preferred level of 28%.']",[]
306,False,"['DTI ratio too high: 111.07%.', 'FEDTI ratio above preferred level of 28%.']",[]
307,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
308,False,"['DTI ratio too high: 93.30%.', 'FEDTI ratio above preferred level of 28%.']",[]
309,False,"['DTI ratio too high: 63.70%.', 'FEDTI ratio above preferred level of 28%.']",[]
310,True,[],[]
311,False,"['Credit score below 640.', 'DTI ratio too high: 46.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
312,False,"['DTI ratio too high: 56.73%.', 'FEDTI ratio above preferred level of 28%.']",[]
313,False,"['DTI ratio too high: 61.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
314,False,['Credit score below 640.'],[]
315,False,"['DTI ratio too high: 149.65%.', 'FEDTI ratio above preferred level of 28%.']",[]
316,True,[],['PMI required due to LTV ratio between 80% and 95%.']
317,False,"['Credit score below 640.', 'DTI ratio too high: 171.42%.', 'FEDTI ratio above preferred level of 28%.']",[]
318,False,"['DTI ratio too high: 92.89%.', 'FEDTI ratio above preferred level of 28%.']",[]
319,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
320,False,"['DTI ratio too high: 77.21%.', 'FEDTI ratio above preferred level of 28%.']",[]
321,False,"['Credit score below 640.', 'DTI ratio too high: 68.64%.', 'FEDTI ratio above preferred level of 28%.']",[]
322,False,"['Credit score below 640.', 'DTI ratio too high: 43.91%.', 'FEDTI ratio above preferred level of 28%.']",[]
323,False,"['DTI ratio too high: 62.84%.', 'FEDTI ratio above preferred level of 28%.']",[]
324,False,"['DTI ratio too high: 110.02%.', 'FEDTI ratio above preferred level of 28%.']",[]
325,False,"['DTI ratio too high: 67.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
326,True,[],[]
327,False,"['Credit score below 640.', 'DTI ratio too high: 92.12%.', 'FEDTI ratio above preferred level of 28%.']",[]
328,False,['FEDTI ratio above preferred level of 28%.'],[]
329,True,[],['PMI required due to LTV ratio between 80% and 95%.']
330,False,"['DTI ratio too high: 67.25%.', 'FEDTI ratio above preferred level of 28%.']",[]
331,False,"['DTI ratio too high: 72.19%.', 'FEDTI ratio above preferred level of 28%.']",[]
332,False,"['Credit score below 640.', 'DTI ratio too high: 54.60%.', 'FEDTI ratio above preferred level of 28%.']",[]
333,True,[],['PMI required due to LTV ratio between 80% and 95%.']
334,True,[],['DTI ratio above preferred level of 36%.']
335,False,"['Credit score below 640.', 'DTI ratio too high: 86.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
336,False,['DTI ratio too high: 44.39%.'],[]
337,True,[],[]
338,False,['Credit score below 640.'],[]
339,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
340,False,"['DTI ratio too high: 117.24%.', 'FEDTI ratio above preferred level of 28%.']",[]
341,True,[],['PMI required due to LTV ratio between 80% and 95%.']
342,False,"['Credit score below 640.', 'DTI ratio too high: 47.50%.', 'FEDTI ratio above preferred level of 28%.']",[]
